player,team,role,overseas,points_match1,points_match2,points_match3,points_match4,points_match5,points_match6,points_match7,points_match8,points_match9,points_match10,points_match11,points_match12,points_match13,points_match14,points_q1_e,points_q2,points_final,points_total
Sai Sudharsan,GT,BAT,,117,87,68,25,128,81,57,74,55,71,26,154,31,57,108,NO,NO,1139
Suryakumar Yadav,MI,BAT,,37,71,44,94,37,67,42,102,63,92,88,50,104,89,60,66,NO,1106
Shubman Gill,GT,BAT,,55,62,21,84,14,92,12,130,113,108,84,128,56,28,5,NO,NO,992
Virat Kohli,RCB,BAT,,85,43,12,103,35,92,5,102,98,81,95,NO,66,82,18,NO,54,971
Shreyas Iyer,PBKS,BAT,,138,81,24,15,118,10,11,9,36,111,67,43,78,47,14,126,21,949
Mitchell Marsh,LSG,AR,1,108,79,2,91,113,NO,44,8,58,59,2,95,169,99,NO,NO,NO,927
Yashasvi Jaiswal,RR,BAT,,21,39,17,102,19,113,84,101,76,101,29,53,87,67,NO,NO,NO,909
Jos Buttler,GT,WK,1,78,58,116,2,59,22,150,87,79,109,49,12,54,17,NO,NO,NO,892
Nicholas Pooran,LSG,WK,1,129,114,63,19,136,102,22,17,15,52,19,67,88,20,NO,NO,NO,863
Prabhsimran Singh,PBKS,WK,,10,110,23,14,65,52,19,54,117,81,129,44,42,20,32,11,34,857
Aiden Markram,LSG,AR,1,22,5,42,77,95,103,54,116,132,15,22,89,63,NO,NO,NO,NO,835
KL Rahul,DC,WK,,NO,31,105,152,20,58,44,80,52,12,15,160,17,55,NO,NO,NO,801
Priyansh Arya,PBKS,BAT,,80,21,2,154,60,37,33,33,103,44,5,14,19,101,12,42,40,800
Heinrich Klaasen,SRH,WK,1,63,38,50,79,45,33,54,100,20,44,4,65,48,156,NO,NO,NO,799
Sunil Narine,KKR,AR,1,94,NO,0,46,46,171,74,27,9,148,28,40,NO,102,NO,NO,NO,785
Hardik Pandya,MI,AR,,NO,84,41,183,113,4,59,6,27,9,95,5,7,36,32,65,NO,766
Ryan Rickelton,MI,WK,1,34,31,100,24,39,86,58,53,33,90,90,22,67,38,NO,NO,NO,765
Prasidh Krishna,GT,BOWL,,-2,60,47,56,85,56,126,64,33,68,37,27,0,58,48,NO,NO,763
Noor Ahmad,CSK,BOWL,1,134,91,54,31,27,44,10,-2,54,37,31,122,33,95,NO,NO,NO,761
Ravindra Jadeja,CSK,AR,,30,37,75,45,17,2,67,102,55,58,115,58,7,82,NO,NO,NO,750
Riyan Parag,RR,AR,,25,47,61,66,43,45,21,66,36,68,50,160,44,9,NO,NO,NO,741
Abhishek Sharma,SRH,AR,,39,9,5,6,26,201,57,22,38,116,4,93,65,56,NO,NO,NO,737
Phil Salt,RCB,WK,1,87,81,21,17,61,100,17,5,42,NO,NO,NO,110,48,86,NO,32,707
Arshdeep Singh,PBKS,BOWL,,74,81,30,4,29,48,54,29,4,54,113,-2,12,70,2,0,97,699
Trent Boult,MI,BOWL,1,5,37,41,29,57,2,29,2,122,95,93,66,29,2,56,29,NO,694
Krunal Pandya,RCB,AR,,99,4,6,108,23,29,5,64,54,127,37,NO,47,4,12,NO,72,691
Josh Hazlewood,RCB,BOWL,1,58,87,25,62,-2,37,89,4,112,70,NO,NO,NO,NO,85,NO,23,650
Marco Jansen,PBKS,AR,1,33,37,28,48,3,112,84,43,7,67,37,56,25,62,NO,NO,NO,642
Pat Cummins,SRH,AR,1,14,94,0,41,62,10,95,3,58,55,97,4,106,-2,NO,NO,NO,637
Jasprit Bumrah,MI,BOWL,,NO,NO,NO,NO,12,25,41,56,29,132,68,76,113,33,39,2,NO,626
Rohit Sharma,MI,BAT,,2,14,19,NO,25,30,40,108,100,20,84,12,10,32,114,13,NO,623
Ajinkya Rahane,KKR,BAT,,88,33,26,65,91,35,24,71,4,42,51,66,NO,22,NO,NO,NO,618
Jitesh Sharma,RCB,WK,,40,27,60,64,17,16,14,23,68,12,20,NO,37,131,32,NO,48,609
Axar Patel,DC,AR,,45,18,41,25,15,95,52,57,86,127,11,33,NO,NO,NO,NO,NO,605
Nehal Wadhera,PBKS,BAT,,NO,68,88,15,35,16,64,17,4,18,32,103,21,14,13,76,21,605
